City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,289.85,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
1,Saint-Pierre,RE,299.97,clear sky,-21.3393,55.4781,Lindsey Hôtel
2,Vila Velha,BR,296.45,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
3,Klaksvik,FO,276.66,overcast clouds,62.2266,-6.589,Airbnb rooms
4,Nome,US,252.19,clear sky,64.5011,-165.4064,Dredge 7 Inn
5,Cape Town,ZA,293.3,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
6,Rikitea,PF,299.45,clear sky,-23.1203,-134.9692,People ThankYou
8,Mataura,NZ,284.53,overcast clouds,-46.1927,168.8643,Ellie's Villa
9,Tiksi,RU,252.23,overcast clouds,71.6872,128.8694,Arktika
10,Itarema,BR,298.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
11,Bluff,NZ,284.71,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
12,Solnechnyy,RU,264.22,light snow,50.7214,136.6319,Hotel complex Pastoral
13,Vardo,NO,269.14,clear sky,70.3705,31.1107,Vardø Hotel AS
14,Sur,OM,294.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
15,Elbistan,TR,264.27,broken clouds,38.2059,37.1983,Sword Hotel
16,Butaritari,KI,301.16,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Busselton,AU,301.53,clear sky,-33.65,115.3333,Observatory Guest House
19,Urumqi,CN,268.68,broken clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
21,Faanui,PF,300.54,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Lorengau,PG,302.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
23,Vila Franca Do Campo,PT,289.93,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
24,Chuy,UY,292.02,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
25,Hobart,AU,301.07,light rain,-42.8794,147.3294,Mantra on Collins Hobart
26,East London,ZA,295.67,scattered clouds,-33.0153,27.9116,Tu Casa
27,Kambove,CD,289.08,light rain,-10.8764,26.5969,Couvant des soeurs catholiques
29,Praia Da Vitoria,PT,291.29,broken clouds,38.7333,-27.0667,Hotel Branco I
30,Leh,IN,259.04,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
31,Saint George,US,287.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
32,Castro,BR,287.97,clear sky,-24.7911,-50.0119,CHACARA BAILLY
33,Repatriacion,PY,296.25,clear sky,-25.5333,-55.95,CABAÑA BLANCA AURORA PADEL CLUB
35,Quatre Cocos,MU,300.98,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
36,Vaini,TO,303.24,scattered clouds,-21.2,-175.2,Keleti Beach Resort
37,Ushuaia,AR,279.96,light rain,-54.8,-68.3,Albatross Hotel
38,Hermanus,ZA,291.98,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Iquitos,PE,297.17,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
40,Avarua,CK,302.18,broken clouds,-21.2078,-159.775,Paradise Inn
41,Kutum,SD,286.09,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
42,Jamestown,US,266.53,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Svetlogorsk,BY,269.54,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
45,Xuddur,SO,292.48,overcast clouds,4.1213,43.8894,Banjanay Hotel
46,Pochutla,MX,298.62,few clouds,15.7432,-96.4661,Hotel Posada San Jose
